timestamp,Adj Close,rate
2024-01-01,248.347,
2024-01-02,248.437,0.00036239616343269887
2024-01-03,238.427,-0.04029190498999757
2024-01-04,237.967,-0.0019293116970812152
2024-01-05,237.406,-0.002357469733198281
2024-01-06,237.406,0.0
2024-01-07,237.406,0.0
2024-01-08,240.326,0.012299604896253591
2024-01-09,234.817,-0.02292302955152581
2024-01-10,233.647,-0.00498260347419488
2024-01-11,227.037,-0.028290540858645685
2024-01-12,218.306,-0.03845628686073188
2024-01-13,218.306,0.0
2024-01-14,218.306,0.0
2024-01-15,218.306,0.0
2024-01-16,219.906,0.0073291618187314445
2024-01-17,215.516,-0.019963075132101937
2024-01-18,211.816,-0.01716809888824955
2024-01-19,212.097,0.001326623106847391
2024-01-20,212.097,0.0
2024-01-21,212.097,0.0
2024-01-22,208.657,-0.01621899413947392
2024-01-23,208.976,0.0015288248177631747
2024-01-24,207.797,-0.005641796187122017
2024-01-25,182.546,-0.12151763499954282
2024-01-26,183.206,0.0036155270452378208
2024-01-27,183.206,0.0
2024-01-28,183.206,0.0
2024-01-29,190.906,0.04202919118369497
2024-01-30,191.577,0.0035148188113520717
2024-01-31,187.196,-0.0228680895932184
2024-02-01,188.816,0.008654031069039947
2024-02-02,187.747,-0.005661596474874964
2024-02-03,187.747,0.0
2024-02-04,187.747,0.0
2024-02-05,181.007,-0.03589937522303954
2024-02-06,184.987,0.021988099907738423
2024-02-07,187.507,0.01362257888392171
2024-02-08,189.467,0.010452943090124567
2024-02-09,193.537,0.021481313368554966
2024-02-10,193.537,0.0
2024-02-11,193.537,0.0
2024-02-12,188.096,-0.028113487343505383
2024-02-13,183.967,-0.021951556651922388
2024-02-14,188.447,0.02435219359993912
2024-02-15,200.446,0.06367307518824927
2024-02-16,199.917,-0.0026391147740538745
2024-02-17,199.917,0.0
2024-02-18,199.917,0.0
2024-02-19,199.917,0.0
2024-02-20,193.717,-0.03101287034119149
2024-02-21,194.766,0.0054151158648956255
2024-02-22,197.256,0.012784572255937876
2024-02-23,191.816,-0.027578375309242786
2024-02-24,191.816,0.0
2024-02-25,191.816,0.0
2024-02-26,199.317,0.0391051841347958
2024-02-27,199.656,0.001700808260208575
2024-02-28,202.017,0.011825339584084604
2024-02-29,201.716,-0.001489973616081719
2024-03-01,202.567,0.004218802673065181
2024-03-02,202.567,0.0
2024-03-03,202.567,0.0
2024-03-04,188.127,-0.07128505630235915
2024-03-05,180.717,-0.039388285573043746
2024-03-06,176.437,-0.023683438746769814
2024-03-07,178.576,0.012123307469521505
2024-03-08,175.336,-0.018143535525490417
2024-03-09,175.336,0.0
2024-03-10,175.336,0.0
2024-03-11,177.786,0.013973171510699434
2024-03-12,177.376,-0.0023061433408704257
2024-03-13,169.477,-0.044532518491791406
2024-03-14,162.506,-0.04113242504882675
2024-03-15,163.536,0.006338227511599515
2024-03-16,163.536,0.0
2024-03-17,163.536,0.0
2024-03-18,173.756,0.06249388513844045
2024-03-19,171.276,-0.014272888418241592
